reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
J031534203,https://www.jaquet-droz.com/en/watches/automata/charming-bird-J031534203,,Jaquet Droz,,AUTOMATA,Charming Bird,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J031534203_THE_CHARMING_BIRD.jpg?itok=P62VleTn,,,18-karat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-karat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-karat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,,No,,Ivory Grand Feu enamel dial,,Rolled-edge hand-made dark-blue alligator,Rolled-edge hand-made dark-blue alligator,18-karat white gold prestige folding clasp,"Hand-winding mechanical automaton movement with push-button 
triggering mechanism. Hand-engraved singing bird. Sapphire whistle system.
Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.","Hand-winding mechanical automaton movement with push-button 
triggering mechanism. Hand-engraved singing bird. Sapphire whistle system.
Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.",38 hours,"21,600 v.p.h.","Caliber 29 jewels, automaton 15 jewels",Off-centered hours and minutes,"Ivory Grand Feu enamel dial. 
18-karat white gold case. 
Hand-winding mechanical automaton movement with push-button triggering mechanism. Hand-engraved and hand-painted singing bird. Sapphire whistle system. 
Self-winding mechanical hours and minutes movement. 
Power reserve of 38 hours. 
Diameter 47 mm. 
Numerus Clausus of 8.",
J031533240,https://www.jaquet-droz.com/en/watches/automata/the-charming-bird-0,,Jaquet Droz,,AUTOMATA,Charming Bird,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J031533240_THE_CHARMING_BIRD_0.jpg?itok=hlNtNoOK,,,"18-carat red gold case
Height 1: 15.75 mm
Height 2: 23 mm
Individual limited serial number engraved on the case-back
",,,"18-carat red gold case
Height 1: 15.75 mm
Height 2: 23 mm
Individual limited serial number engraved on the case-back
",,,"18-carat red gold case
Height 1: 15.75 mm
Height 2: 23 mm
Individual limited serial number engraved on the case-back
",,,,No,,"Sapphire crystal dial with platinum Roman numerals 
",,"Rolled-edge hand made black alligator leather strap with black alligator leather lining and black stitches
","Rolled-edge hand made black alligator leather strap with black alligator leather lining and black stitches
","18-carat red gold prestige folding clasp
","Jaquet Droz 615, self-winding mechanical movement, single barrel. Balance wheel with regulator screw and silicon spring. Platinum oscillating weight
","Jaquet Droz 615, self-winding mechanical movement, single barrel. Balance wheel with regulator screw and silicon spring. Platinum oscillating weight
",38 hours,"21,600 v.p.h","29 jewels
","Singing bird action
15 jewels
","Sapphire dial.
18-carat red gold case.
Singing bird automaton movement, hand-winding mechanical movement and push-button automaton triggering mechanism.
Self-winding mechanical movement.
Sapphire whistle system.
Power reserve of 38 hours.
Diameter 47 mm.
Numerus Clausus of 28.",
J031533200,https://www.jaquet-droz.com/en/watches/automata/the-charming-bird-1,,Jaquet Droz,,AUTOMATA,Charming Bird,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J031533200_THE_CHARMING_BIRD_1.jpg?itok=WjKuS_r5,,,18-carat red gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-carat red gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-carat red gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,,No,,"Hand-engraved and hand-painted white mother-of-pearl dial. 18-carat red gold ring, onyx hours and minutes subdial",,Rolled-edge hand-made black alligator leather strap with black alligator leather lining,Rolled-edge hand-made black alligator leather strap with black alligator leather lining,18-carat red gold prestige folding clasp,"Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.","Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.",38 hours,"21,600 v.p.h.","Caliber 29 jewels, automaton 15 jewels",Off-centered hours and minutes,"Hand-engraved and hand-painted white mother-of-pearl dial. Onyx subdial. 
18-carat red gold case and applied ring. 
Singing bird automaton movement, hand-winding mechanical movement and push-button automaton triggering mechanism. Sapphire whistle system. 
Hours and minutes self-winding movement. 
Power reserve of 38 hours. 
Diameter 47 mm. 
Numerus Clausus of 8. AUTOMATON Singing bird automaton movement, hand-winding mechanical movement and push-button automaton triggering mechanism. Sapphire whistle system. Hand-engraved platinum.",
J031534200,https://www.jaquet-droz.com/en/watches/automata/the-charming-bird-2,,Jaquet Droz,,AUTOMATA,Charming Bird,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J031534200_THE_CHARMING_BIRD_0.jpg?itok=6QgCj12E,,,18-carat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-carat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,18-carat white gold case Diameter 47 mm Height 1: 15.75 mm Height 2: 22.85 mm Individual limited serial number engraved on the case-back,,,,No,,"Hand-engraved and hand-painted white mother-of-pearl dial. 18-carat white gold ring, onyx hours and minutes subdial",,Rolled-edge hand-made black alligator leather strap with black alligator leather lining,Rolled-edge hand-made black alligator leather strap with black alligator leather lining,18-carat white gold prestige folding clasp,"Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.","Jaquet Droz 615, self-winding mechanical movement, silicon balance spring and pallet horns, platinum oscillating weight.",38 hours,"21,600 v.p.h.","Caliber 29 jewels, automaton 15 jewels",Off-centered hours and minutes,"Hand-engraved and hand-painted white mother-of-pearl dial. Onyx subdial.
18-carat white gold case and applied ring.
Singing bird automaton movement, hand-winding mechanical movement and push-button automaton triggering mechanism. Sapphire whistle system.
Hours and minutes self-winding movement.
Power reserve of 38 hours.
Diameter 47 mm.
Numerus Clausus of 8. AUTOMATON Singing bird automaton movement, hand-winding mechanical movement and push-button automaton triggering mechanism. Sapphire whistle system. Hand-engraved platinum.",
J032533275,https://www.jaquet-droz.com/en/watches/automata/loving-butterfly-automaton-j032533275,,Jaquet Droz,,AUTOMATA,Loving Butterfly,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J032533275_LOVING_BUTTERFLY_AUTOMATON_FRONT.jpg?itok=GyCb6krO,,,18-karat red gold case. Diameter 43 mm. Height 16.63 mm. Individual limited serial number engraved on the case-back. ,,,18-karat red gold case. Diameter 43 mm. Height 16.63 mm. Individual limited serial number engraved on the case-back. ,,,18-karat red gold case. Diameter 43 mm. Height 16.63 mm. Individual limited serial number engraved on the case-back. ,,,,To 3 bar (30 meters),,Chinchilla red petrified wood and black onyx dial. hand-engraved 18-karat red gold appliques. ,,Rolled-edge hand-made black alligator,Rolled-edge hand-made black alligator,18-karat red gold folding clasp,"Jaquet Droz 2653 AT1, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, 22-karat red gold oscillating weight. 
Hand-wound automaton with crown-push button triggering mechanism to move the animated chariot wheel and wings, triple barrel.","Jaquet Droz 2653 AT1, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, 22-karat red gold oscillating weight. 
Hand-wound automaton with crown-push button triggering mechanism to move the animated chariot wheel and wings, triple barrel.",68 hours,"28,800 v.p.h.",57 jewels,Off-centered hours and minutes at 12 o'clock,"Chinchilla red petrified wood and black onyx dial with hand-engraved 18-karat red gold appliques. 
18-karat red gold case. 
Hand-wound mechanical automaton movement with push-button triggering mechanism moving the butterfly’s wings and wheel of the chariot. 
Self-winding mechanical hours and minutes movement. 
Power reserve of 68 hours. 
Diameter 43 mm. 
Numerus Clausus of 28.",
J032534270,https://www.jaquet-droz.com/en/watches/automata/loving-butterfly-automaton-0,,Jaquet Droz,,AUTOMATA,Loving Butterfly,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J032534270_THE_LOVING_BUTTERFLY_AUTOMATON.jpg?itok=mA-1CDdK,,,18-karat white gold case Diameter Ø 43 mm Height 16.63 mm Individual limited serial number engraved on the case-back,,,18-karat white gold case Diameter Ø 43 mm Height 16.63 mm Individual limited serial number engraved on the case-back,,,18-karat white gold case Diameter Ø 43 mm Height 16.63 mm Individual limited serial number engraved on the case-back,,,,3 bar (30 meters),,"Black mother-of-pearl dial with 18-karat white gold decorations 18-karat white gold appliques of cherub, chariot and butterfly body Butterfly wings in 18-karat white gold Chariot wheel in 18-karat white gold",,Rolled-edge hand-made black alligator strap,Rolled-edge hand-made black alligator strap,18-carat white gold folding clasp,"Jaquet Droz 2653 AT1, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, 22-karat white gold oscillating weight. 
Automaton with mechanism for moving the butterfly's wings and the wheel of the chariot, hand-winding automaton, with crown push-button triggering mechanism, triple barrel","Jaquet Droz 2653 AT1, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, 22-karat white gold oscillating weight. 
Automaton with mechanism for moving the butterfly's wings and the wheel of the chariot, hand-winding automaton, with crown push-button triggering mechanism, triple barrel",68 hours,"28,800 v.p.h",57 jewels,Off-centered hours and minutes,"Black mother-of-pearl dial with hand-engraved 18-karat white gold appliques. 
18-karat white gold case. 
Hand-winding mechanical automaton movement with push-button triggering mechanism moving the butterfly's wings and wheel of the chariot. 
Self-winding mechanical hours and minutes movement. 
Power reserve of 68 hours. 
Diameter 43 mm. 
Numerus Clausus of 28.",
J032533271,https://www.jaquet-droz.com/en/watches/automata/loving-butterfly-automaton-j032533271,,Jaquet Droz,,AUTOMATA,Loving Butterfly,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J032533271_LOVING_BUTTERFLY_AUTOMATON.jpg?itok=qkUiV4Nh,,,Diameter Ø 43 mm Height 16.63 mm Individual limited serial number engraved on the case-back,,,Diameter Ø 43 mm Height 16.63 mm Individual limited serial number engraved on the case-back,,,Diameter Ø 43 mm Height 16.63 mm Individual limited serial number engraved on the case-back,,,,To 3 bar (30 meters),,"Meteorite dial with 18-karat red gold appliques Black onyx hour circle 18-karat gold appliques of cherub, chariot and butterfly body Butterfly wings in 18-karat red gold Chariot wheel in 18-karat red gold",,Rolled-edge hand-made black alligator strap,Rolled-edge hand-made black alligator strap,18-karat red gold folding clasp,"Jaquet Droz 2653 AT1, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, 22-karat red gold oscillating weight. 
Automaton with mechanism for moving the butterfly's wings and the wheel of the chariot, hand-winding automaton, with crown push-button triggering mechanism, triple barrel.
","Jaquet Droz 2653 AT1, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, 22-karat red gold oscillating weight. 
Automaton with mechanism for moving the butterfly's wings and the wheel of the chariot, hand-winding automaton, with crown push-button triggering mechanism, triple barrel.
",68 hours,"28,800 v.p.h",57 jewels,Off-centered hours and minutes,"Meteorite dial with hand-engraved 18-karat red gold appliques. 
18-karat red gold case. 
Hand-winding mechanical automaton movement with push-button triggering mechanism moving the butterfly's wings and wheel of the chariot. 
Self-winding mechanical hours and minutes movement. 
Power reserve of 68 hours. 
Diameter 43 mm. 
Numerus Clausus of 28.",
J032534271,https://www.jaquet-droz.com/en/watches/automata/loving-butterfly-automaton-J032534271,,Jaquet Droz,,AUTOMATA,Loving Butterfly,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J032534271_LOVING-BUTTERFLY-AUTOMATON.jpg?itok=CxebiF9P,,,18-karat white gold case set with 212 diamonds (0.68 carat). Diameter Ø 43 mm. Height 16.63 mm. Individual limited serial number engraved on the case-back. ,,,18-karat white gold case set with 212 diamonds (0.68 carat). Diameter Ø 43 mm. Height 16.63 mm. Individual limited serial number engraved on the case-back. ,,,18-karat white gold case set with 212 diamonds (0.68 carat). Diameter Ø 43 mm. Height 16.63 mm. Individual limited serial number engraved on the case-back. ,,,,To 3 bar (30 meters),,"Aventurine dial with 18-karat white gold decorations White mother-of-pearl hour circle 18-karat white gold appliques of cherub, chariot and butterfly body Butterfly wings in 18-karat white gold Chariot wheel in 18-karat white gold",,Rolled-edge hand-made blue alligator strap,Rolled-edge hand-made blue alligator strap,18-karat white gold folding clasp set with 32 diamonds (0.26 carat),"Jaquet Droz 2653 AT1, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, 22-karat white gold oscillating weight. 
Automaton with mechanism for moving the butterfly's wings and the wheel of the chariot, hand-winding automaton, with crown push-button triggering mechanism, triple barrel","Jaquet Droz 2653 AT1, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, 22-karat white gold oscillating weight. 
Automaton with mechanism for moving the butterfly's wings and the wheel of the chariot, hand-winding automaton, with crown push-button triggering mechanism, triple barrel",68 hours,"28,800 v.p.h",57 jewels,Off-centered hours and minutes,"Aventurine dial with hand-engraved 18-karat white gold appliques. 
18-karat white gold case set with 212 diamonds, total of 0.68 carat. 
Hand-winding mechanical automaton movement with push-button triggering mechanism moving the butterfly's wings and wheel of the chariot. 
Self-winding mechanical hours and minutes movement. 
Power reserve of 68 hours. 
Diameter 43 mm. 
Numerus Clausus of 28.",
J032633270,https://www.jaquet-droz.com/en/watches/automata/magic-lotus-automaton-j032633270,,Jaquet Droz,,AUTOMATA,Magic Lotus,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J032633270_MAGIC%20LOTUS%20AUTOMATON_FRONT.jpg?itok=2RRiEdgd,,,18-karat red gold case Diameter 43 mm Height 16.96 mm Individual limited serial number engraved on the case-back,,,18-karat red gold case Diameter 43 mm Height 16.96 mm Individual limited serial number engraved on the case-back,,,18-karat red gold case Diameter 43 mm Height 16.96 mm Individual limited serial number engraved on the case-back,,,,To 3 bar (30 meters),,"Hand-engraved and hand-painted white mother-of-pearl dial Black onyx subdial, 18-karat red gold applied ring Hand-engraved and hand-painted applied decoration in white mother-of-pearl and 18-karat red and yellow gold, lotus leaves in 18-karat red gold engraved and enamelled by hand Winter lotus set with 7 diamonds (0.005 carat), spring lotus set with a yellow sapphire (0.03 carat), autumn lotus set with a red briolette ruby (0.30 carat), a blue briolette sapphire (0.30 carat) and a yellow briolette sapphire (0.30 carat)",,Rolled-edge hand-made dark green alligator,Rolled-edge hand-made dark green alligator,18-karat red gold folding clasp,"Jaquet Droz 2653 AT2, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, hand-engraved flat bridges, hand-engraved 18-karat red gold oscillating weight Hand-wound mechanical automaton movement with push-button 
triggering mechanism animating pond, carp and lotus flower, double barrel","Jaquet Droz 2653 AT2, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, hand-engraved flat bridges, hand-engraved 18-karat red gold oscillating weight Hand-wound mechanical automaton movement with push-button 
triggering mechanism animating pond, carp and lotus flower, double barrel",68 hours,"28,800 v.p.h.",56 jewels,Off-centered hours and minutes,"Hand-engraved and hand-painted white mother-of-pearl dial, black onyx subdial. 
18-karat red gold case and applied ring. 
Hand-engraved and hand-painted applied decoration in 18-karat red and yellow gold. 
Hand-wound mechanical automaton movement with push-button 
triggering mechanism animating pond, carp and lotus flower. 
Self-winding mechanical hours and minutes movement. 
Power reserve of 68 hours. 
Diameter 43 mm. 
Numerus Clausus of 28.",
J032634270,https://www.jaquet-droz.com/en/watches/automata/magic-lotus-automaton-j032634270,,Jaquet Droz,,AUTOMATA,Magic Lotus,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J032634270_MAGIC%20LOTUS%20AUTOMATON_FRONT.jpg?itok=QAqloCyN,,,18-karat white gold case Diameter 43 mm Height 16.96 mm Individual limited serial number engraved on the case-back,,,18-karat white gold case Diameter 43 mm Height 16.96 mm Individual limited serial number engraved on the case-back,,,18-karat white gold case Diameter 43 mm Height 16.96 mm Individual limited serial number engraved on the case-back,,,,To 3 bar (30 meters),,"Hand-engraved and hand-painted white mother-of-pearl dial Black onyx subdial, 18-karat white gold applied ring Hand-engraved and hand-painted applied decoration in white mother-of-pearl and 18-karat white and yellow gold, lotus leaves in 18-karat white gold engraved and enamelled by hand Winter lotus set with 7 diamonds (0.005 carat), spring lotus set with a yellow sapphire (0.03 carat), autumn lotus set with a red briolette ruby (0.30 carat), a blue briolette sapphire (0.30 carat) and a yellow briolette sapphire (0.30 carat)",,Rolled-edge hand-made dark green alligator,Rolled-edge hand-made dark green alligator,18-karat white gold folding clasp,"Jaquet Droz 2653 AT2, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, hand-engraved flat bridges, hand-engraved 18-karat white gold oscillating weight Hand-wound mechanical automaton movement with push-button triggering mechanism animating pond, carp and lotus flower, double barrel","Jaquet Droz 2653 AT2, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, hand-engraved flat bridges, hand-engraved 18-karat white gold oscillating weight Hand-wound mechanical automaton movement with push-button triggering mechanism animating pond, carp and lotus flower, double barrel",68 hours,"28,800 v.p.h.",56 jewels,Off-centered hours and minutes,"Hand-engraved and hand-painted white mother-of-pearl dial, black onyx subdial.18-karat white gold case and applied ring. 
Hand-engraved and hand-painted applied decoration in 18-karat white and yellow gold. 
Hand-wound mechanical automaton movement with push-button triggering mechanism animating pond, carp and lotus flower. 
Self-winding mechanical hours and minutes movement. 
Power reserve of 68 hours. 
Diameter 43 mm. 
Numerus Clausus of 28.",
J033033202,https://www.jaquet-droz.com/en/watches/automata/tropical-bird-repeater-j033033202,,Jaquet Droz,,AUTOMATA,Tropical Bird Repeater,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J033033202_Tropical-Bird-Repeater_Front.jpg?itok=b5y0mDiO,,,18-karat red gold case Diameter 47 mm Height 18.95 mm Individual limited serial number engraved on the case-back,,,18-karat red gold case Diameter 47 mm Height 18.95 mm Individual limited serial number engraved on the case-back,,,18-karat red gold case Diameter 47 mm Height 18.95 mm Individual limited serial number engraved on the case-back,,,,No,,"Hand-engraved and hand-painted white mother-of-pearl dial White mother-of-pearl subdial Hand-engraved and hand-painted 18-karat red gold decoration Hand-engraved and hand-painted peacock, hummingbird and toucan Hand-painted dragonflies with Super-LumiNova®",,Rolled-edge hand-made brown alligator,Rolled-edge hand-made brown alligator,Luxury folding clasp in 18-karat red gold,"Jaquet Droz RMA89, minute repeater hand-winding mechanical movement, single barrel Automaton animation with peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall.","Jaquet Droz RMA89, minute repeater hand-winding mechanical movement, single barrel Automaton animation with peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall.",50 hours,"21,600 v.p.h",86 jewels,Off-centered hours and minutes,"Hand-engraved and hand-painted white mother-of-pearl dial and subdial. 
18-karat red gold case and applied ring. 
Hand-engraved and hand-painted applied decoration in 18-karat red gold. 
Minute repeater, hand-wound mechanical movement. 
Automaton with animated peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall. 
Power reserve of 50 hours. 
Diameter 47 mm. 
Numerus Clausus of 8.",
J033033206,https://www.jaquet-droz.com/en/watches/automata/tropical-bird-repeater-j033033206,,Jaquet Droz,,AUTOMATA,Tropical Bird Repeater,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J033033206_TROPCIAL_BIRD_REPEATER_OPEN.jpg?itok=0-z3E08q,,,"Hand-engraved 18-karat red gold case, set with 36 baguette-cut diamonds, total of 2.76 carats Diameter 47 mm Height 18.95 mm Pièce unique (unique piece) engraved on the case-backPièce unique gravé sur le fond du boîtier",,,"Hand-engraved 18-karat red gold case, set with 36 baguette-cut diamonds, total of 2.76 carats Diameter 47 mm Height 18.95 mm Pièce unique (unique piece) engraved on the case-backPièce unique gravé sur le fond du boîtier",,,"Hand-engraved 18-karat red gold case, set with 36 baguette-cut diamonds, total of 2.76 carats Diameter 47 mm Height 18.95 mm Pièce unique (unique piece) engraved on the case-backPièce unique gravé sur le fond du boîtier",,,,No,,"Hand-engraved and hand-painted tinted mother-of-pearl dial Subdial set with 180 baguette-cut diamonds, total of 1.80 carats Hand-engraved and hand-painted applied decoration in 18-karat red gold Hand-engraved and hand-painted peacock, hummingbird and toucan Hand-painted dragonflies with Super-LumiNova®",,Rolled-edge hand-made dark green alligator strap,Rolled-edge hand-made dark green alligator strap,Luxury folding clasp in 18-karat red gold,"Jaquet Droz RMA89, minute repeater, hand-wound mechanical movement, single barrel Automaton animation with peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall","Jaquet Droz RMA89, minute repeater, hand-wound mechanical movement, single barrel Automaton animation with peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall",50 hours,"21,600 v.p.h",86 jewels,Off-centered hours and minutes,"Hand-engraved and hand-painted tinted mother-of-pearl dial, subdial set with 180 baguette-cut diamonds, total of 1.80 carats. 
Hand-engraved 18-karat red gold case, set with 36 baguette-cut diamonds, total of 2.76 carats 
Hand-engraved and hand-painted applied decoration in 18-karat red gold. 
Minute repeater, hand-wound mechanical movement. 
Automaton animation with peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall. 
Power reserve of 50 hours. 
Diameter 47 mm. 
Unique piece.",
J033033205,https://www.jaquet-droz.com/en/watches/tropical-bird-repeater-j033033205,,Jaquet Droz,,AUTOMATA,Tropical Bird Repeater,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J033033205_TROPCIAL_BIRD_REPEATER_FRONT.jpg?itok=JN7IbEKy,,,"Hand-engraved 18-karat red gold case, set with 36 baguette-cut diamonds, total of 2.76 carats. Diameter 47 mm. Height 18.95 mm. Pièce unique (unique piece) engraved on the case-backPièce unique gravé sur le fond du boîtier. ",,,"Hand-engraved 18-karat red gold case, set with 36 baguette-cut diamonds, total of 2.76 carats. Diameter 47 mm. Height 18.95 mm. Pièce unique (unique piece) engraved on the case-backPièce unique gravé sur le fond du boîtier. ",,,"Hand-engraved 18-karat red gold case, set with 36 baguette-cut diamonds, total of 2.76 carats. Diameter 47 mm. Height 18.95 mm. Pièce unique (unique piece) engraved on the case-backPièce unique gravé sur le fond du boîtier. ",,,,No,,"Hand-engraved and hand-painted white mother-of-pearl dial. Subdial set with 180 baguette-cut diamonds, total of 1.80 carats. Hand-engraved and hand-painted applied decoration in 18-karat red gold. Hand-engraved and hand-painted peacock, hummingbird and toucan. Hand-painted dragonflies with Super-LumiNova®. ",,Rolled-edge hand-made dark green alligator strap,Rolled-edge hand-made dark green alligator strap,Luxury folding clasp in 18-karat red gold,"Jaquet Droz RMA89, minute repeater hand-winding mechanical movement, single barrel. Automaton animation with peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall. ","Jaquet Droz RMA89, minute repeater hand-winding mechanical movement, single barrel. Automaton animation with peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall. ",50 hours,"21,600 v.p.h",86 jewels,Off-centered hours and minutes,"Hand-engraved and hand-painted white mother-of-pearl dial, subdial set with 180 baguette-cut diamonds, total of 1.80 carats. 
Hand-engraved 18-karat red gold case, set with 36 baguette-cut diamonds, total of 2.76 carats 
Hand-engraved and hand-painted applied decoration in 18-karat red gold. 
Minute repeater, hand-wound mechanical movement. 
Automaton animation with peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall. 
Power reserve of 50 hours. 
Diameter 47 mm. 
Unique piece.",
J033034200,https://www.jaquet-droz.com/en/watches/automata/tropical-bird-repeater-j033034200,,Jaquet Droz,,AUTOMATA,Tropical Bird Repeater,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J033034200_TROPCIAL_BIRD_REPEATER_CLOSE.jpg?itok=4PSDat6C,,,Hand-engraved 18-karat white gold case Diameter 47 mm Height 18.95 mm Individual limited serial number engraved on the case-back,,,Hand-engraved 18-karat white gold case Diameter 47 mm Height 18.95 mm Individual limited serial number engraved on the case-back,,,Hand-engraved 18-karat white gold case Diameter 47 mm Height 18.95 mm Individual limited serial number engraved on the case-back,,,,No,,"Hand-engraved and hand-painted white mother-of-pearl dial White mother-of-pearl subdial Hand-engraved and hand-painted 18-karat white gold decoration Hand-engraved and hand-painted peacock, hummingbird and toucan Hand-painted dragonflies with Super-LumiNova®",,Rolled-edge hand-made dark green alligator strap,Rolled-edge hand-made dark green alligator strap,Luxury folding clasp in 18-karat white gold,"Jaquet Droz RMA89, minute repeater hand-winding mechanical movement, single barrel Automaton animation with peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall.","Jaquet Droz RMA89, minute repeater hand-winding mechanical movement, single barrel Automaton animation with peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall.",50 hours,"21,600 v.p.h",86 jewels,Off-centered hours and minutes,"Hand-engraved and hand-painted white mother-of-pearl dial, white mother-of-pearl subdial. 
Hand-engraved 18-karat white gold case and applied ring. 
Hand-engraved and hand-painted applied decoration in 18-karat white gold. 
Minute repeater, hand-winding mechanical movement. 
Automaton animation with peacock, tropical leaves, hummingbird, toucan, dragonflies and waterfall. 
Power reserve of 50 hours. 
Diameter 47 mm. 
Numerus Clausus of 8.",
J032003200,https://www.jaquet-droz.com/en/watches/automata/lady-8-flower-J032003200,,Jaquet Droz,,AUTOMATA,Lady 8 Flower,,,,,,https://www.jaquet-droz.com/sites/default/files/styles/cart_product_image/public/J032003200_LADY_8_FLOWER_POSITION.png?itok=a-eNwYSI,,,"18-carat red gold, set with 114 diamonds (1.43 carats)
Height 1: 12.76 mm
Height 2: 17.60 mm
Individual limited serial number engraved on the case-back


",,,"18-carat red gold, set with 114 diamonds (1.43 carats)
Height 1: 12.76 mm
Height 2: 17.60 mm
Individual limited serial number engraved on the case-back


",,,"18-carat red gold, set with 114 diamonds (1.43 carats)
Height 1: 12.76 mm
Height 2: 17.60 mm
Individual limited serial number engraved on the case-back


",,,,To 3 bar (30 meters),,"18-carat red gold, guilloché. 18-carat red gold butterfly applique, enameled using the Grand Feu technique, hand-painted and hand-engraved.  18-carat red gold ring and nails. Small white mother-of-pearl dial under the flower with hand-engraved 18-carat red gold ring.
",,"Rolled-edge hand-made brown alligator leather
","Rolled-edge hand-made brown alligator leather
","18-carat red gold folding clasp set with 21 diamonds (0.22 carat)

","Jaquet Droz 615, self-winding mechanical movement, single barrel. Balance wheel with regulator screw and silicon spring. 
Platinum oscillating weight
","Jaquet Droz 615, self-winding mechanical movement, single barrel. Balance wheel with regulator screw and silicon spring. 
Platinum oscillating weight
",38 hours,"21,600 v.p.h.","29 jewels
","Centered hours and minutes
","18-carat red gold, guilloché dial. 18-carat red gold butterfly applique, enameled using the Grand Feu technique, hand-painted and hand-engraved. 
18-carat red gold case set with 114 diamonds (1.43 carats).
Opening flower automaton movement. 
18-carat red gold petals engraved and enameled by hand. 
Briolette diamond swivels both ways.  
Power reserve of 38 hours
Diameter 35 mm
Numerus Clausus of 28",
